id,activity_date,day_type,week_number,user_type,total_steps,total_steps_filtered,very_active_minutes,fairly_active_minutes,sedentary_minutes,calories,total_minutes_asleep,sleep_efficiency,type_of_sleeper,sedentary_percentage
4319703577,2016-03-30,Weekday,13,Moderate Mover,9043,9043,4,12,702,2141,,,,48.75
4319703577,2016-03-31,Weekday,13,Moderate Mover,8144,8144,4,17,1125,2129,,,,78.13
4319703577,2016-04-01,Weekday,13,Moderate Mover,9343,9343,14,20,654,2216,,,,45.42
4319703577,2016-04-02,Weekend,13,Moderate Mover,8405,8405,15,4,621,2154,,,,43.13
4319703577,2016-04-03,Weekend,13,High Efficiency Mover,8223,8223,12,37,551,2178,,,,38.26
4319703577,2016-04-04,Weekday,14,Moderate Mover,10067,10067,5,39,578,2308,,,,40.14
4319703577,2016-04-05,Weekday,14,Moderate Mover,8359,8359,3,14,638,2201,,,,44.31
4319703577,2016-04-06,Weekday,14,High Efficiency Mover,10946,10946,8,51,569,2341,,,,39.51
4319703577,2016-04-07,Weekday,14,Moderate Mover,9130,9130,7,11,668,2236,,,,46.39
4319703577,2016-04-08,Weekday,14,Moderate Mover,6544,6544,4,6,1132,2069,,,,78.61
4319703577,2016-04-09,Weekend,14,Sedentary User,0,,0,0,1440,0,,,,100
4388161847,2016-03-29,Weekday,13,Sedentary User,0,,0,0,1440,1878,,,,100
4388161847,2016-03-30,Weekday,13,Sedentary User,0,,0,0,1440,1878,,,,100
4388161847,2016-03-31,Weekday,13,Sedentary User,0,,0,0,1440,1878,,,,100
4388161847,2016-04-01,Weekday,13,Sedentary User,0,,0,0,1440,1878,,,,100
4388161847,2016-04-02,Weekend,13,Sedentary User,0,,0,0,1440,1878,,,,100
4388161847,2016-04-03,Weekend,13,Sedentary User,0,,0,0,1440,1878,,,,100
4388161847,2016-04-04,Weekday,14,Sedentary User,0,,0,0,1440,1878,,,,100
4388161847,2016-04-05,Weekday,14,Sedentary User,0,,0,0,994,1296,390,0.94,Restorative Sleeper,69.03
4445114986,2016-03-29,Weekday,13,Sedentary User,2303,2303,0,0,807,2010,,,,56.04
4445114986,2016-03-30,Weekday,13,Sedentary User,2600,2600,0,0,1277,2032,,,,88.68
4445114986,2016-03-31,Weekday,13,Sedentary User,4804,4804,0,0,786,2227,,,,54.58
4445114986,2016-04-01,Weekday,13,Sedentary User,3271,3271,0,0,898,2133,,,,62.36
4445114986,2016-04-02,Weekend,13,Sedentary User,5406,5406,0,0,672,2317,,,,46.67
4445114986,2016-04-03,Weekend,13,Sedentary User,3146,3146,0,0,1269,2058,,,,88.13
4445114986,2016-04-04,Weekday,14,Sedentary User,2422,2422,0,0,1330,1935,,,,92.36
4445114986,2016-04-05,Weekday,14,Moderate Mover,4239,4239,1,6,702,2217,337,0.93,Restorative Sleeper,48.75
4445114986,2016-04-06,Weekday,14,Moderate Mover,6911,6911,28,2,745,2374,,,,51.74
4445114986,2016-04-07,Weekday,14,Moderate Mover,6667,6667,24,1,939,2335,,,,65.21
4445114986,2016-04-08,Weekday,14,Sedentary User,5543,5543,0,0,941,2303,,,,65.35
4445114986,2016-04-09,Weekend,14,Sedentary User,4195,4195,0,0,758,2210,,,,52.64
4445114986,2016-04-10,Weekend,14,Sedentary User,6625,6625,0,0,755,2424,,,,52.43
4445114986,2016-04-11,Weekday,15,Moderate Mover,5986,5986,23,5,789,2297,,,,54.79
4445114986,2016-04-12,Weekday,15,Sedentary User,278,278,0,0,253,745,,,,17.57
4558609924,2016-04-01,Weekday,13,Sedentary User,5336,5336,0,0,1182,1902,,,,82.08
4558609924,2016-04-02,Weekend,13,Sedentary User,3183,3183,0,0,1180,1680,,,,81.94
4558609924,2016-04-03,Weekend,13,Moderate Mover,6176,6176,1,7,886,1901,,,,61.53
4558609924,2016-04-04,Weekday,14,Sedentary User,8205,8205,0,0,1073,2078,,,,74.51
4558609924,2016-04-05,Weekday,14,High Efficiency Mover,6799,6799,24,14,1217,1876,,,,84.51
4558609924,2016-04-06,Weekday,14,Sedentary User,5668,5668,0,0,1181,1853,,,,82.01
4558609924,2016-04-07,Weekday,14,Moderate Mover,7998,7998,27,12,1105,2235,,,,76.74
